id,value
literatura infantil e juvenil
literatura infantil e juvenil.personagens de rpg.animais.urso.urso branco,1
literatura infantil e juvenil.personagens de rpg.animais.urso.urso pardo,1
literatura infantil e juvenil.personagens de rpg.animais.urso.urso panda,1
literatura infantil e juvenil.personagens de rpg.animais.urso,1
literatura infantil e juvenil.abordagem,1
literatura infantil e juvenil.forma,1
literatura infantil e juvenil.gênero,1
literatura infantil e juvenil.personagens de rpg,1
literatura infantil e juvenil.tema,1
literatura infantil e juvenil.personagens de rpg.animais,1
literatura infantil e juvenil.personagens de rpg.astros,1
literatura infantil e juvenil.personagens de rpg.bonecas,1
literatura infantil e juvenil.personagens de rpg.bonecos,1
literatura infantil e juvenil.personagens de rpg.etnias,1
literatura infantil e juvenil.personagens de rpg.família,1
literatura infantil e juvenil.personagens de rpg.fenômenos da natureza,1
literatura infantil e juvenil.personagens de rpg.nobres,1
literatura infantil e juvenil.personagens de rpg.ocupações,1
literatura infantil e juvenil.personagens de rpg.seres fantásticos,1
literatura infantil e juvenil.personagens de rpg.vegetais,1
literatura infantil e juvenil.abordagem.abordagem cômica,1
literatura infantil e juvenil.abordagem.abordagem de aventura,1
literatura infantil e juvenil.abordagem.abordagem de espionagem,1
literatura infantil e juvenil.abordagem.abordagem de ficção científica,1
literatura infantil e juvenil.abordagem.abordagem de horror,1
literatura infantil e juvenil.abordagem.abordagem dramática,1
literatura infantil e juvenil.abordagem.abordagem filosófica,1
literatura infantil e juvenil.abordagem.abordagem psicológica,1
literatura infantil e juvenil.abordagem.abordagem realista,1
literatura infantil e juvenil.personagens de rpg.animais.macaco,1
literatura infantil e juvenil.personagens de rpg.animais.cão,1
literatura infantil e juvenil.personagens de rpg.animais.cobra,1
literatura infantil e juvenil.personagens de rpg.animais.gato,1
literatura infantil e juvenil.personagens de rpg.animais.aves.galinha,1
literatura infantil e juvenil.personagens de rpg.animais.aves.galo,1
literatura infantil e juvenil.personagens de rpg.animais.aves,1
literatura infantil e juvenil.personagens de rpg.animais.aves.coruja,1
literatura infantil e juvenil.personagens de rpg.animais.aves.pardal,1
literatura infantil e juvenil.personagens de rpg.animais.porco,1
literatura infantil e juvenil.personagens de rpg.ocupações.bibliotecário,1
literatura infantil e juvenil.personagens de rpg.ocupações.bombeiro,1
literatura infantil e juvenil.personagens de rpg.animais.insetos,1
literatura infantil e juvenil.personagens de rpg.animais.insetos.borboleta,1
literatura infantil e juvenil.personagens de rpg.animais.insetos.lesma,1
literatura infantil e juvenil.personagens de rpg.animais.aves.papagaio,1
literatura infantil e juvenil.personagens de rpg.ocupações.professor,1
literatura infantil e juvenil.personagens de rpg.animais.lobo,1
literatura infantil e juvenil.personagens de rpg.animais.insetos.lagarta,1
literatura infantil e juvenil.gênero.criança.criança de rua,1
literatura infantil e juvenil.personagens de rpg.animais.aves.pato,1
literatura infantil e juvenil.personagens de rpg.animais.raposa,1
literatura infantil e juvenil.personagens de rpg.ocupações.sapateiro,1
literatura infantil e juvenil.personagens de rpg.família.mãe,1
literatura infantil e juvenil.personagens de rpg.família.pai,1
literatura infantil e juvenil.personagens de rpg.família.avô,1
literatura infantil e juvenil.personagens de rpg.família.tia,1
literatura infantil e juvenil.personagens de rpg.família.tio,1
literatura infantil e juvenil.gênero.criança,1
