id,value
requisitos funcionais para registros bibliográficos
requisitos funcionais para registros bibliográficos.functional requirements for authority data,1
ponto de acesso.ponto de acesso controlado,1
ponto de acesso.ponto de acesso não-controlado,1
organização da informação.tratamento temático da informação.catalogação de assunto,1
organização da informação.tratamento temático da informação.indexação,1
organização da informação.tratamento temático da informação.classificação,1
organização da informação.catalogação,1
organização da informação.tratamento temático da informação,1
organização da informação.tratamento temático da informação.elaboração de resumos,1
organização da informação.catalogação.catalogação cooperativa,1
interoperabilidade.interoperabilidade semântica,1
metadados.padrões de metadados,1
organização da informação.catalogação.catalogação automatizada,1
organização da informação.tratamento temático da informação.análise documentária,1
organização da informação.tratamento temático da informação.linguagem documentária,1
organização da informação.tratamento temático da informação.linguagem documentária.linguagem artificial,1
terminologia.teoria comunicativa da terminologia,1
regras de catalogação.código de catalogação anglo-americano,1
regras de catalogação.descrição e acesso de recursos,1
interoperabilidade.interoperabilidade semântica.web semântica,1
metadados.padrões de metadados.resource description framework,1
sistemas de organização da informação.simple knowledge organization system,1
internet.arquitetura da informação.arquitetura da informação pervasiva,1
internet.world wide web,1
estudos métricos da informação.bibliometria,1
estudos métricos da informação.informetria,1
estudos métricos da informação.patentometria,1
estudos métricos da informação.altmetria,1
estudos métricos da informação.cientometria,1
profissional da informação.bibliotecário,1
profissional da informação.museólogo,1
profissional da informação.arquivista,1
área do conhecimento.ciências sociais aplicadas.ciência da informação,1
métodos e técnicas de pesquisas.revisão sistemática da literatura,1
sistema de recuperação da informação.mecanismos de busca,1
patente.patente verde,1
área do conhecimento.ciências sociais aplicadas,1
área do conhecimento.multidisciplinaridade,1
área do conhecimento.interdisciplinaridade,1
documento.produção documental,1
semântica.semântica discursiva,1
acervo.acervo fotográfico,1
documento.documento museológico,1
organização da informação.tratamento temático da informação.indexação.indexação automática,1
sintagma.sintagma verbal,1
sintagma.sintagma nominal,1
organização da informação.tratamento temático da informação.indexação.indexação semi-automática,1
organização da informação.tratamento temático da informação.indexação.indexação manual,1
metadados.padrões de metadados.extensible markup language,1
metadados.padrões de metadados.formato marc,1
organização da informação.tratamento temático da informação.indexação.indexação automática.indexação por extração automática,1
organização da informação.tratamento temático da informação.indexação.indexação automática.indexação por atribuição automática,1
organização da informação.tratamento temático da informação.classificação.classificação decimal de dewey,1
gestão da informação.gestão estratégica da informação,1
comunicação científica.produção científica,1
unidade de informação.biblioteca.biblioteca universitária,1
unidade de informação.biblioteca.biblioteca universitária.biblioteca central,1
unidade de informação.biblioteca.biblioteca comunitária,1
unidade de informação.biblioteca.biblioteca escolar,1
unidade de informação.biblioteca.biblioteca pública,1
unidade de informação.biblioteca.biblioteca universitária.biblioteca setorial,1
unidade de informação.biblioteca.biblioteca comunitária.biblioteca hospitalar,1
métodos e técnicas de pesquisas.técnica delphi,1
internet.internet das coisas,1
internet.world wide web.web 2 0,1
internet.world wide web.web 3 0,1
internet.world wide web.web 1 0,1
área do conhecimento.educação,1
serviço da biblioteca.clipping,1
métodos e técnicas de pesquisas.análise de citação,1
repositório digital.preservação digital,1
repositório digital.repositório institucional,1
estudos de gênero.lgbt,1
serviço da biblioteca.serviço de referência,1
serviço da biblioteca.hora do conto,1
serviço da biblioteca.literatura de cordel,1
documento.documento arquivístico,1
unidade de informação.biblioteca,1
unidade de informação.arquivo,1
unidade de informação.museu,1
unidade de informação.biblioteca.biblioteca especializada,1
unidade de informação.biblioteca.biblioteca especializada.biblioteca militar,1
documento.tipo de documento,1
documento.tipo de documento.livro,1
documento.tipo de documento.mapas,1
documento.tipo de documento.fotografias,1
documento.tipo de documento.revista científica,1
estudos de gênero.étnico racial,1
organização da informação.tratamento temático da informação.classificação.classificação de bliss,1
estudos métricos da informação.cibermetria,1
estudos métricos da informação.webmetria,1
profissional da informação.bibliotecário.bibibliotecário de referência,1
organização da informação.tratamento temático da informação.classificação.classificação decimal universal,1
profissional da informação.cientista da informação,1
comunicação científica.produção científica.acoplamento bibliográfico,1
documento.tipo de documento.livro.audiolivros,1
comunicação científica.resumo,1
estudos métricos da informação.bibliometria.autoria,1
área do conhecimento.arquivologia,1
área do conhecimento.museologia,1
área do conhecimento.biblioteconomia,1
área do conhecimento.comunicação (área do conhecimento),1
comunicação científica.artigos científicos,1
estudo de usuários.perfil do usuário,1
estudo de usuários.estudo de uso,1
profissional da informação.arquiteto de informação,1
profissional da informação.auxiliar de biblioteca,1
área do conhecimento.biblioteconomia.currículo de biblioteconomia,1
editora.editora científica,1
organização da informação.tratamento temático da informação.classificação.colon classification,1
organização da informação.tratamento temático da informação.classificação.library of congress classification,1
métodos e técnicas de pesquisas.estudos de caso,1
internet.arquitetura da informação,1
